,y_test,prediction
454,1,0
52,0,1
536,1,0
469,0,0
55,1,1
62,0,1
539,1,1
432,1,1
367,0,0
482,1,1
310,1,0
498,1,1
233,1,1
361,1,1
424,1,1
357,0,1
449,0,1
386,1,1
473,1,1
553,0,0
48,0,0
433,1,1
243,1,1
356,1,0
187,1,0
511,1,1
440,1,1
173,1,1
211,0,0
548,0,0
350,1,1
190,1,1
200,1,1
441,1,1
103,1,1
414,0,0
294,1,1
535,1,1
224,1,1
560,1,1
206,1,0
567,0,0
14,1,0
342,1,1
193,1,0
196,1,0
178,1,1
405,1,1
1,0,0
304,1,1
343,1,1
362,1,1
496,1,0
127,1,1
418,1,1
348,1,0
397,1,1
365,0,1
8,1,1
194,1,0
122,1,0
210,0,1
